pokemon_id,move_id,pokemon_move_method_id,level
1,33,1,1
1,45,1,1
1,22,1,3
1,74,1,6
1,73,1,9
1,75,1,12
1,77,1,15
1,79,1,15
1,402,1,18
1,36,1,21
1,230,1,24
1,235,1,27
1,388,1,30
1,38,1,33
1,76,1,36
2,22,1,1
2,33,1,1
2,45,1,1
2,74,1,1
2,73,1,9
2,75,1,12
2,77,1,15
2,79,1,15
2,402,1,20
2,36,1,25
2,230,1,30
2,235,1,35
2,388,1,40
2,38,1,45
2,76,1,50
3,22,1,1
3,33,1,1
3,45,1,1
3,74,1,1
3,80,1,1
3,572,1,1
3,73,1,9
3,75,1,12
3,77,1,15
3,79,1,15
3,402,1,20
3,36,1,25
3,230,1,30
3,235,1,37
3,388,1,44
3,38,1,51
3,76,1,58
4,10,1,1
4,45,1,1
4,52,1,4
4,108,1,8
4,225,1,12
4,424,1,17
4,163,1,20
4,53,1,24
4,184,1,28
4,83,1,32
4,517,1,36
4,394,1,40
5,10,1,1
5,45,1,1
5,52,1,1
5,108,1,1
5,225,1,12
5,424,1,19
5,163,1,24
5,53,1,30
5,184,1,37
5,517,1,48
5,394,1,54
6,10,1,1
6,45,1,1
6,52,1,1
6,108,1,1
6,257,1,1
6,337,1,1
6,225,1,12
6,424,1,19
6,163,1,24
6,53,1,30
6,184,1,39
6,83,1,46
6,517,1,54
6,394,1,62
7,33,1,1
7,39,1,1
7,55,1,3
7,110,1,6
7,229,1,9
7,44,1,12
7,352,1,15
7,182,1,18
7,240,1,21
7,401,1,24
7,504,1,27
7,334,1,30
7,56,1,33
7,130,1,36
8,33,1,1
8,39,1,1
8,55,1,1
8,110,1,1
8,229,1,9
8,44,1,12
8,352,1,15
8,182,1,20
8,240,1,25
8,401,1,30
8,504,1,35
8,334,1,40
8,56,1,45
8,130,1,50
9,33,1,1
9,39,1,1
9,55,1,1
9,110,1,1
9,430,1,1
9,229,1,9
9,44,1,12
9,352,1,15
9,182,1,20
9,240,1,25
9,401,1,30
9,504,1,35
9,334,1,42
9,56,1,49
9,130,1,56
10,33,1,1
10,81,1,1
10,450,1,9
11,106,1,1
12,16,1,1
12,33,1,1
12,81,1,1
12,106,1,1
12,450,1,1
12,48,1,4
12,93,1,8
12,77,1,12
12,78,1,12
12,79,1,12
12,60,1,16
12,18,1,20
12,403,1,24
12,219,1,28
12,405,1,32
12,366,1,36
12,476,1,40
12,483,1,44
13,40,1,1
13,81,1,1
14,106,1,1
15,41,1,1
15,64,1,1
15,99,1,13
15,31,1,16
15,116,1,19
15,398,1,22
15,97,1,25
15,42,1,28
15,200,1,31
16,33,1,1
16,28,1,3
16,16,1,5
16,119,1,9
16,98,1,11
16,17,1,15
16,355,1,17
16,18,1,21
16,97,1,23
16,403,1,27
16,13,1,29
17,16,1,1
17,28,1,1
17,33,1,1
17,98,1,1
17,28,1,3
17,16,1,5
17,98,1,9
17,119,1,11
17,17,1,15
17,355,1,17
17,18,1,25
17,97,1,31
17,403,1,39
17,13,1,45
18,16,1,1
18,28,1,1
18,33,1,1
18,98,1,1
18,143,1,1
18,257,1,1
18,28,1,3
18,16,1,5
18,98,1,9
18,119,1,11
18,17,1,15
18,355,1,17
18,18,1,25
18,97,1,31
18,403,1,43
18,13,1,53
19,33,1,1
19,39,1,3
19,98,1,6
19,116,1,9
19,44,1,12
19,162,1,15
19,242,1,18
19,158,1,21
19,389,1,24
19,38,1,27
20,14,1,1
20,33,1,1
20,39,1,1
20,68,1,1
20,98,1,1
20,116,1,1
20,154,1,1
20,39,1,3
20,98,1,6
20,116,1,9
20,44,1,12
20,162,1,15
20,242,1,18
20,158,1,26
20,389,1,34
20,38,1,42
21,64,1,1
21,45,1,3
21,43,1,8
21,116,1,11
21,31,1,16
21,119,1,19
21,355,1,24
21,97,1,27
21,65,1,32
22,43,1,1
22,45,1,1
22,64,1,1
22,98,1,1
22,116,1,1
22,143,1,1
22,529,1,1
22,45,1,3
22,43,1,8
22,116,1,11
22,31,1,16
22,119,1,19
22,355,1,29
22,97,1,37
22,65,1,47
23,35,1,1
23,40,1,1
23,43,1,4
23,51,1,8
23,44,1,12
23,114,1,16
23,137,1,20
23,398,1,24
23,21,1,28
23,103,1,32
23,92,1,36
24,35,1,1
24,40,1,1
24,43,1,1
24,51,1,1
24,242,1,1
24,389,1,1
24,43,1,4
24,51,1,9
24,44,1,12
24,114,1,16
24,137,1,20
24,398,1,28
24,21,1,36
24,103,1,44
24,92,1,52
25,39,1,1
25,45,1,1
25,84,1,1
25,98,1,1
25,186,1,1
25,204,1,1
25,417,1,1
25,589,1,1
25,609,1,1
25,86,1,4
25,104,1,8
25,486,1,12
25,364,1,16
25,209,1,20
25,97,1,24
25,231,1,28
25,435,1,32
25,85,1,36
25,113,1,40
25,87,1,44
26,39,1,1
26,45,1,1
26,84,1,1
26,86,1,1
26,87,1,1
26,97,1,1
26,98,1,1
26,104,1,1
26,113,1,1
26,186,1,1
26,204,1,1
26,209,1,1
26,231,1,1
26,364,1,1
26,417,1,1
26,435,1,1
26,486,1,1
26,589,1,1
26,609,1,1
26,85,1,5
27,10,1,1
27,111,1,1
27,40,1,3
27,28,1,6
27,205,1,9
27,210,1,12
27,229,1,15
27,523,1,18
27,129,1,21
27,154,1,24
27,97,1,27
27,163,1,30
27,91,1,33
27,360,1,36
27,14,1,39
27,201,1,42
27,89,1,45
28,10,1,1
28,28,1,1
28,40,1,1
28,111,1,1
28,306,1,1
28,205,1,9
28,210,1,12
28,229,1,15
28,523,1,18
28,129,1,21
28,154,1,26
28,328,1,31
28,163,1,36
28,91,1,41
28,360,1,46
28,14,1,51
28,201,1,56
28,89,1,61
29,40,1,1
29,45,1,1
29,10,1,5
29,39,1,10
29,154,1,15
29,390,1,20
29,24,1,25
29,44,1,30
29,270,1,35
29,92,1,40
29,260,1,45
29,242,1,50
29,414,1,55
30,10,1,1
30,39,1,1
30,40,1,1
30,45,1,1
30,154,1,15
30,390,1,22
30,24,1,29
30,44,1,36
30,270,1,43
30,92,1,50
30,260,1,57
30,242,1,64
30,414,1,71
31,10,1,1
31,24,1,1
31,39,1,1
31,40,1,1
31,44,1,1
31,45,1,1
31,92,1,1
31,154,1,1
31,242,1,1
31,260,1,1
31,270,1,1
31,276,1,1
31,390,1,1
31,414,1,1
32,40,1,1
32,43,1,1
32,64,1,5
32,116,1,10
32,31,1,15
32,390,1,20
32,24,1,25
32,30,1,30
32,270,1,35
32,92,1,40
32,260,1,45
32,398,1,50
32,414,1,55
33,40,1,1
33,43,1,1
33,64,1,1
33,116,1,1
33,31,1,15
33,390,1,22
33,24,1,29
33,30,1,36
33,270,1,43
33,92,1,50
33,260,1,57
33,398,1,64
33,414,1,71
34,24,1,1
34,30,1,1
34,31,1,1
34,40,1,1
34,43,1,1
34,64,1,1
34,92,1,1
34,116,1,1
34,224,1,1
34,260,1,1
34,270,1,1
34,390,1,1
34,398,1,1
34,414,1,1
35,1,1,1
35,45,1,1
35,47,1,1
35,111,1,1
35,150,1,1
35,186,1,1
35,204,1,1
35,227,1,1
35,383,1,1
35,574,1,1
35,500,1,4
35,107,1,8
35,495,1,12
35,791,1,16
35,118,1,20
35,236,1,24
35,356,1,28
35,309,1,32
35,266,1,36
35,322,1,40
35,585,1,44
35,361,1,48
36,1,1,1
36,45,1,1
36,47,1,1
36,107,1,1
36,111,1,1
36,118,1,1
36,150,1,1
36,186,1,1
36,204,1,1
36,227,1,1
36,236,1,1
36,266,1,1
36,309,1,1
36,322,1,1
36,356,1,1
36,361,1,1
36,383,1,1
36,495,1,1
36,500,1,1
36,574,1,1
36,585,1,1
36,791,1,1
37,39,1,1
37,52,1,1
37,50,1,4
37,98,1,8
37,180,1,12
37,510,1,16
37,109,1,20
37,261,1,24
37,326,1,28
37,53,1,32
37,286,1,36
37,83,1,40
37,219,1,44
37,517,1,48
37,288,1,52
37,126,1,56
38,39,1,1
38,50,1,1
38,52,1,1
38,53,1,1
38,83,1,1
38,98,1,1
38,109,1,1
38,126,1,1
38,180,1,1
38,219,1,1
38,261,1,1
38,286,1,1
38,288,1,1
38,326,1,1
38,417,1,1
38,510,1,1
38,517,1,1
39,47,1,1
39,50,1,1
39,111,1,1
39,186,1,1
39,204,1,1
39,383,1,1
39,574,1,1
39,876,1,1
39,497,1,4
39,343,1,8
39,254,1,12
39,255,1,12
39,256,1,12
39,496,1,16
39,156,1,20
39,34,1,24
39,102,1,28
39,360,1,32
39,304,1,36
39,38,1,44
40,34,1,1
40,38,1,1
40,47,1,1
40,50,1,1
40,102,1,1
40,111,1,1
40,156,1,1
40,186,1,1
40,204,1,1
40,254,1,1
40,255,1,1
40,256,1,1
40,304,1,1
40,343,1,1
40,360,1,1
40,383,1,1
40,496,1,1
40,497,1,1
40,574,1,1
40,876,1,1
40,583,1,5
41,48,1,1
41,71,1,1
41,310,1,5
41,212,1,10
41,305,1,15
41,501,1,20
41,314,1,25
41,44,1,30
41,114,1,35
41,474,1,40
41,109,1,45
41,403,1,50
41,141,1,55
42,48,1,1
42,71,1,1
42,103,1,1
42,212,1,1
42,310,1,1
42,305,1,15
42,501,1,20
42,314,1,27
42,44,1,34
42,114,1,41
42,474,1,48
42,109,1,55
42,403,1,62
42,141,1,69
43,71,1,1
43,74,1,1
43,51,1,4
43,230,1,8
43,72,1,12
43,77,1,14
43,78,1,16
43,79,1,18
43,202,1,20
43,92,1,24
43,585,1,28
43,580,1,32
43,236,1,36
43,80,1,40
44,51,1,1
44,71,1,1
44,74,1,1
44,230,1,1
44,72,1,12
44,77,1,14
44,78,1,16
44,79,1,18
44,202,1,20
44,92,1,26
44,585,1,32
44,580,1,38
44,236,1,44
44,80,1,50
45,51,1,1
45,71,1,1
45,72,1,1
45,74,1,1
45,77,1,1
45,78,1,1
45,79,1,1
45,80,1,1
45,92,1,1
45,202,1,1
45,230,1,1
45,236,1,1
45,312,1,1
45,572,1,1
45,580,1,1
45,585,1,1
46,10,1,1
46,79,1,2
46,78,1,4
46,77,1,6
46,71,1,9
46,74,1,12
46,154,1,15
46,163,1,19
46,141,1,23
46,147,1,27
46,404,1,31
47,10,1,1
47,73,1,1
47,77,1,1
47,78,1,1
47,79,1,1
47,103,1,1
47,79,1,2
47,78,1,4
47,77,1,6
47,71,1,9
47,74,1,12
47,154,1,15
47,163,1,19
47,141,1,23
47,147,1,33
47,404,1,43
48,33,1,1
48,50,1,1
48,48,1,5
48,93,1,11
48,77,1,13
48,60,1,17
48,78,1,23
48,405,1,25
48,79,1,29
48,141,1,35
48,428,1,37
48,305,1,41
48,94,1,47
49,33,1,1
49,48,1,1
49,50,1,1
49,483,1,1
49,93,1,11
49,77,1,13
49,60,1,17
49,78,1,23
49,405,1,25
49,79,1,29
49,141,1,37
49,428,1,41
49,305,1,47
49,94,1,55
50,10,1,1
50,28,1,1
50,45,1,4
50,310,1,8
50,189,1,12
50,523,1,16
50,389,1,20
50,163,1,24
50,201,1,28
50,91,1,32
50,414,1,36
50,89,1,40
50,90,1,44
51,10,1,1
51,28,1,1
51,45,1,1
51,161,1,1
51,310,1,1
51,400,1,1
51,189,1,12
51,523,1,16
51,389,1,20
51,163,1,24
51,201,1,30
51,91,1,36
51,414,1,42
51,89,1,48
51,90,1,54
52,45,1,1
52,252,1,1
52,364,1,4
52,10,1,8
52,6,1,12
52,44,1,16
52,269,1,20
52,372,1,24
52,154,1,29
52,103,1,32
52,163,1,36
52,417,1,40
52,583,1,44
53,10,1,1
53,45,1,1
53,252,1,1
53,364,1,1
53,415,1,1
53,6,1,12
53,44,1,16
53,269,1,20
53,372,1,24
53,154,1,31
53,103,1,36
53,163,1,42
53,417,1,48
53,583,1,54
